"Author","nPapers","Rate","Multidisciplinary","BiodivCons","FieldEcology","Ecology","Macroecology"
"amqnF50AAAAJ&hl",22,3,0,0.272727272727273,0.454545454545455,0.545454545454545,0.272727272727273
"umQlTc4AAAAJ&hl",8,0.714285714285714,0.375,0,0.375,0.375,0
"6OAcr48AAAAJ&hl",17,1.66666666666667,0.294117647058824,0.117647058823529,0.294117647058824,0.529411764705882,0.294117647058824
"nnMBGmUAAAAJ&hl",5,0.6,0,0.2,0.6,0.2,0
"7ho2aw8AAAAJ&hl",36,5,0.0555555555555556,0.305555555555556,0.361111111111111,0.666666666666667,0.0277777777777778
"wDTdwKsAAAAJ&hl",14,5,0,0,0.714285714285714,0.285714285714286,0
"TOWdQPsAAAAJ&hl",8,2,0,0.125,0.5,0.125,0
"wGMJGlwAAAAJ&hl",7,1.5,0,0,0.571428571428571,0.428571428571429,0
"UItcycYAAAAJ&hl",37,4.5,0.0540540540540541,0,0.756756756756757,0.243243243243243,0
"B0cbN9sAAAAJ&hl",3,1,0,0,1,0,0
"VhiLi6AAAAAJ&hl",6,1.5,0,0.166666666666667,0.833333333333333,0.166666666666667,0.166666666666667
"VYH6DGUAAAAJ&hl",22,2.28571428571429,0.136363636363636,0.0909090909090909,0.181818181818182,0.636363636363636,0.227272727272727
"2uC73sEAAAAJ&hl",9,1.25,0.111111111111111,0.222222222222222,0.333333333333333,0.555555555555556,0.333333333333333
"WZvyMusAAAAJ&hl",6,1,0,0,0.833333333333333,0,0
"9y-Bt1cAAAAJ&hl",6,1,0,0,0.5,0.166666666666667,0
"9ykiSFkAAAAJ&hl",15,1.71428571428571,0,0,0.666666666666667,0.8,0.2
"rvwQU7IAAAAJ&hl",9,1.4,0,0,1,0,0
"wRlUuY0AAAAJ&hl",8,2,0,0,0.875,0.125,0
"z2jRx3QAAAAJ&hl",16,2.33333333333333,0.125,0.25,0.25,0.5625,0.25
"iH__zNUAAAAJ&hl",30,4,0.133333333333333,0.133333333333333,0.466666666666667,0.233333333333333,0
"DwQ7-OAAAAAJ&hl",7,0.8,0.142857142857143,0.285714285714286,0.142857142857143,0.571428571428571,0
"BnDyiscAAAAJ&hl",22,5.33333333333333,0,0.545454545454545,0.272727272727273,0.454545454545455,0
"qS22WBQAAAAJ&hl",11,1.4,0.0909090909090909,0,0.363636363636364,0.363636363636364,0
"IWdIFJYAAAAJ&hl",6,1.33333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0
"qPr4ScoAAAAJ&hl",20,2.6,0.1,0.1,0.3,0.45,0
"IZMCvQ8AAAAJ&hl",20,2.42857142857143,0,0.3,0.4,0.7,0
"TiVh7SAAAAAJ&hl",42,3.71428571428571,0.19047619047619,0.142857142857143,0.380952380952381,0.285714285714286,0
"jEneBYAAAAAJ&hl",13,1.5,0.153846153846154,0.230769230769231,0.384615384615385,0.538461538461538,0
"IZ-vsG8AAAAJ&hl",26,3,0.0769230769230769,0.0384615384615385,0.192307692307692,0.653846153846154,0
"5nYO9h8AAAAJ&hl",4,1,0,0.5,0.5,0,0
"DSRq0LEAAAAJ&hl",34,5.75,0.205882352941176,0.0294117647058824,0.411764705882353,0.147058823529412,0.117647058823529
"zzw50C8AAAAJ&hl",10,1.33333333333333,0.2,0.1,0.7,0.2,0
"tkorNC8AAAAJ&hl",40,7.5,0.15,0.05,0.6,0.25,0
"P37i3zQAAAAJ&hl",12,1.8,0.0833333333333333,0,0.333333333333333,0.666666666666667,0
"HgdBykgAAAAJ&hl",17,2.5,0,0.117647058823529,0.294117647058824,0.529411764705882,0.117647058823529
"fUrC5yIAAAAJ&hl",16,2.66666666666667,0.0625,0.0625,0.5,0.3125,0
"CiO7cMsAAAAJ&hl",31,6,0,0,0.419354838709677,0.451612903225806,0
"jRP-A84AAAAJ&hl",15,2,0.0666666666666667,0,0.6,0.666666666666667,0
"NUOOLscAAAAJ&hl",6,1,0,0,0.666666666666667,0.5,0
"rFkaTSIAAAAJ&hl",16,1.85714285714286,0,0,1,0.125,0
"W1xZF3MAAAAJ&hl",9,1.66666666666667,0,0,1,0.222222222222222,0
"woha0P4AAAAJ&hl",16,2,0.0625,0.1875,0.75,0.1875,0
"DqBUI3EAAAAJ&hl",3,1,0,0,0.666666666666667,0.333333333333333,0
"dwQWKOQAAAAJ&hl",6,2,0,0,1,0.333333333333333,0
"HODSgGMAAAAJ&hl",12,1,0,0.0833333333333333,0.666666666666667,0.25,0
"NQBU_BoAAAAJ&hl",13,4,0,0.153846153846154,0.769230769230769,0.230769230769231,0.153846153846154
"TBODjDkAAAAJ&hl",20,2,0.05,0,0.7,0,0
"nSoOSesAAAAJ&hl",21,3.4,0,0.19047619047619,0.666666666666667,0.238095238095238,0.0952380952380952
"kqO9kP0AAAAJ&hl",5,2,0,0,0.8,0.2,0
"IEZA_m0AAAAJ&hl",13,1.6,0,0.153846153846154,0.538461538461538,0.461538461538462,0
"agRhyb0AAAAJ&hl",11,1.75,0,0.272727272727273,0.272727272727273,0.545454545454545,0.0909090909090909
"I8fP-c4AAAAJ&hl",23,4.25,0.130434782608696,0.0869565217391304,0.434782608695652,0.478260869565217,0.130434782608696
"PDe1bjIAAAAJ&hl",32,4.5,0.03125,0.03125,0.71875,0.15625,0
"WyW5cysAAAAJ&hl",21,8,0.380952380952381,0.0952380952380952,0.285714285714286,0.238095238095238,0.0952380952380952
"cpK1YCgAAAAJ&hl",31,3.66666666666667,0.0967741935483871,0.419354838709677,0.0967741935483871,0.838709677419355,0.129032258064516
"GpGvcHcAAAAJ&hl",16,1.42857142857143,0.125,0.1875,0,0.8125,0.125
"oxAqE5MAAAAJ&hl",29,5.5,0.206896551724138,0.0689655172413793,0.241379310344828,0.413793103448276,0.0689655172413793
"9aRyIw8AAAAJ&hl",15,2,0.133333333333333,0.0666666666666667,0.133333333333333,0.866666666666667,0.0666666666666667
"yNySU5wAAAAJ&hl",16,1.5,0,0.125,0.25,0.1875,0
"i9Vs2bsAAAAJ&hl",48,4.66666666666667,0.0416666666666667,0.0833333333333333,0.416666666666667,0.666666666666667,0.0833333333333333
"Fa7tJHgAAAAJ&hl",44,4.28571428571429,0.0909090909090909,0.318181818181818,0.0454545454545455,0.636363636363636,0.136363636363636
"zBWf-RgAAAAJ&hl",12,1.66666666666667,0,0.0833333333333333,0.833333333333333,0.416666666666667,0.0833333333333333
"ZXWXI7YAAAAJ&hl",66,8,0.0606060606060606,0.106060606060606,0.363636363636364,0.606060606060606,0.166666666666667
"Q8q3_48AAAAJ&hl",13,2.5,0,0.230769230769231,0.307692307692308,0.923076923076923,0.307692307692308
"CbhGvQcAAAAJ&hl",5,0.5,0,0,0.4,0.4,0
"Ter9aGoAAAAJ&hl",54,5.57142857142857,0.037037037037037,0.0925925925925926,0.481481481481481,0.481481481481481,0
"mxjCV1YAAAAJ&hl",16,2,0,0.0625,0.125,0.875,0.375
